,url,category
0,/ratemodel.aspx?modelid=1099482,c-pclaptop
1,/ratemodel.aspx?modelid=1143597,c-pclaptop
2,/ratemodel.aspx?modelid=1097913,c-pclaptop
3,/ratemodel.aspx?modelid=1106790,c-pclaptop
4,/ratemodel.aspx?modelid=1138577,c-pclaptop
5,/ratemodel.aspx?modelid=1128117,c-pclaptop
6,/ratemodel.aspx?modelid=1131434,c-pclaptop
7,/ratemodel.aspx?modelid=1099546,c-pclaptop
8,/ratemodel.aspx?modelid=1142406,c-pclaptop
9,/ratemodel.aspx?modelid=1066287,c-pclaptop
10,/ratemodel.aspx?modelid=1129516,c-pclaptop
11,/ratemodel.aspx?modelid=1101608,c-pclaptop
12,/ratemodel.aspx?modelid=1127097,c-pclaptop
13,/ratemodel.aspx?modelid=1125639,c-pclaptop
14,/ratemodel.aspx?modelid=1103760,c-pclaptop
15,/ratemodel.aspx?modelid=1108506,c-pclaptop
16,/ratemodel.aspx?modelid=1114236,c-pclaptop
17,/ratemodel.aspx?modelid=1112896,c-pclaptop
18,/ratemodel.aspx?modelid=1126048,c-pclaptop
19,/ratemodel.aspx?modelid=1140608,c-pclaptop
20,/ratemodel.aspx?modelid=1129796,c-pclaptop
21,/ratemodel.aspx?modelid=1109058,c-pclaptop
22,/ratemodel.aspx?modelid=1102712,c-pclaptop
23,/ratemodel.aspx?modelid=1112760,c-pclaptop
24,/ratemodel.aspx?modelid=1130720,c-pclaptop
25,/ratemodel.aspx?modelid=1132497,c-pclaptop
26,/ratemodel.aspx?modelid=1020087,e-headphone
27,/ratemodel.aspx?modelid=1045012,e-headphone
28,/ratemodel.aspx?modelid=1127466,e-headphone
29,/ratemodel.aspx?modelid=1102290,e-headphone
30,/ratemodel.aspx?modelid=1122632,e-headphone
31,/ratemodel.aspx?modelid=1085019,e-headphone
32,/ratemodel.aspx?modelid=1118517,e-headphone
33,/ratemodel.aspx?modelid=1096200,e-headphone
34,/ratemodel.aspx?modelid=1113020,e-headphone
35,/ratemodel.aspx?modelid=1082472,e-headphone
36,/ratemodel.aspx?modelid=926438,e-headphone
37,/ratemodel.aspx?modelid=1063219,e-headphone
38,/ratemodel.aspx?modelid=1095642,e-headphone
39,/ratemodel.aspx?modelid=1096199,e-headphone
40,/ratemodel.aspx?modelid=1047869,e-headphone
41,/ratemodel.aspx?modelid=1120272,e-headphone
42,/ratemodel.aspx?modelid=1058581,e-headphone
43,/ratemodel.aspx?modelid=997682,e-headphone
44,/ratemodel.aspx?modelid=1097174,e-headphone
45,/ratemodel.aspx?modelid=1137150,e-headphone
46,/ratemodel.aspx?modelid=1070588,e-headphone
47,/ratemodel.aspx?modelid=1035736,e-headphone
48,/ratemodel.aspx?modelid=1091250,e-headphone
49,/ratemodel.aspx?modelid=1001229,e-headphone
50,/ratemodel.aspx?modelid=974469,e-headphone
51,/ratemodel.aspx?modelid=1126174,e-headphone
52,/ratemodel.aspx?modelid=1124285,e-headphone
53,/ratemodel.aspx?modelid=944796,e-headphone
54,/ratemodel.aspx?modelid=1084350,e-headphone
55,/ratemodel.aspx?modelid=1119792,e-headphone
56,/ratemodel.aspx?modelid=1010431,e-headphone
57,/ratemodel.aspx?modelid=1136581,e-headphone
58,/ratemodel.aspx?modelid=1040692,e-headphone
59,/ratemodel.aspx?modelid=1090131,e-headphone
60,/ratemodel.aspx?modelid=1050587,e-headphone
61,/ratemodel.aspx?modelid=677258,e-headphone
62,/ratemodel.aspx?modelid=774594,e-headphone
63,/ratemodel.aspx?modelid=1059907,e-headphone
64,/ratemodel.aspx?modelid=1009639,e-headphone
65,/ratemodel.aspx?modelid=883392,e-headphone
66,/ratemodel.aspx?modelid=1085477,e-headphone
67,/ratemodel.aspx?modelid=1050593,e-headphone
68,/ratemodel.aspx?modelid=994234,e-headphone
69,/ratemodel.aspx?modelid=1064253,e-headphone
70,/ratemodel.aspx?modelid=1080150,e-headphone
71,/ratemodel.aspx?modelid=887197,e-headphone
72,/ratemodel.aspx?modelid=1127674,e-headphone
73,/ratemodel.aspx?modelid=937935,e-headphone
74,/ratemodel.aspx?modelid=932331,e-headphone
75,/ratemodel.aspx?modelid=1091513,e-headphone
76,/ratemodel.aspx?modelid=1084356,e-headphone
77,/ratemodel.aspx?modelid=1104629,e-headphone
78,/ratemodel.aspx?modelid=944795,e-headphone
79,/ratemodel.aspx?modelid=974516,e-headphone
80,/ratemodel.aspx?modelid=931581,e-headphone
81,/ratemodel.aspx?modelid=1040053,e-headphone
82,/ratemodel.aspx?modelid=988545,e-headphone
83,/ratemodel.aspx?modelid=1024732,e-headphone
84,/ratemodel.aspx?modelid=1098707,e-headphone
85,/ratemodel.aspx?modelid=1029099,e-headphone
86,/ratemodel.aspx?modelid=1051213,e-headphone
87,/ratemodel.aspx?modelid=957156,e-headphone
88,/ratemodel.aspx?modelid=1041822,e-headphone
89,/ratemodel.aspx?modelid=1052980,e-headphone
90,/ratemodel.aspx?modelid=1020196,e-headphone
91,/ratemodel.aspx?modelid=1134471,e-headphone
92,/ratemodel.aspx?modelid=1092442,e-headphone
93,/ratemodel.aspx?modelid=991631,e-headphone
94,/ratemodel.aspx?modelid=1139903,e-headphone
95,/ratemodel.aspx?modelid=1117046,e-headphone
96,/ratemodel.aspx?modelid=1059902,e-headphone
97,/ratemodel.aspx?modelid=1044736,e-headphone
98,/ratemodel.aspx?modelid=1131438,e-headphone
99,/ratemodel.aspx?modelid=1010216,e-headphone
100,/ratemodel.aspx?modelid=1143901,e-headphone
101,/ratemodel.aspx?modelid=1024167,e-headphone
102,/ratemodel.aspx?modelid=1070425,e-headphone
103,/ratemodel.aspx?modelid=1093239,e-headphone
104,/ratemodel.aspx?modelid=1081926,e-headphone
105,/ratemodel.aspx?modelid=1013459,e-headphone
106,/ratemodel.aspx?modelid=1114116,e-headphone
107,/ratemodel.aspx?modelid=1092755,e-headphone
108,/ratemodel.aspx?modelid=877128,e-headphone
109,/ratemodel.aspx?modelid=716785,e-headphone
110,/ratemodel.aspx?modelid=1097057,e-headphone
111,/ratemodel.aspx?modelid=798961,e-headphone
112,/ratemodel.aspx?modelid=1039355,e-headphone
113,/ratemodel.aspx?modelid=974776,e-headphone
114,/ratemodel.aspx?modelid=1013931,e-headphone
115,/ratemodel.aspx?modelid=1093697,e-headphone
116,/ratemodel.aspx?modelid=990433,e-headphone
117,/ratemodel.aspx?modelid=1047377,e-headphone
118,/ratemodel.aspx?modelid=1126305,e-headphone
119,/ratemodel.aspx?modelid=900927,e-headphone
120,/ratemodel.aspx?modelid=1050614,e-headphone
121,/ratemodel.aspx?modelid=1070424,e-headphone
122,/ratemodel.aspx?modelid=1036809,e-headphone
123,/ratemodel.aspx?modelid=1126305,e-headphone
124,/ratemodel.aspx?modelid=1128749,e-headphone
125,/ratemodel.aspx?modelid=342943,e-headphone
126,/ratemodel.aspx?modelid=1050614,e-headphone
127,/ratemodel.aspx?modelid=1101693,e-headphone
128,/ratemodel.aspx?modelid=1066874,e-headphone
129,/ratemodel.aspx?modelid=896997,e-headphone
130,/ratemodel.aspx?modelid=791072,e-headphone
131,/ratemodel.aspx?modelid=1036065,e-headphone
132,/ratemodel.aspx?modelid=954598,e-headphone
133,/ratemodel.aspx?modelid=1069285,e-headphone
134,/ratemodel.aspx?modelid=1029097,e-headphone
135,/ratemodel.aspx?modelid=1059908,e-headphone
136,/ratemodel.aspx?modelid=369666,e-headphone
137,/ratemodel.aspx?modelid=1120186,e-headphone
138,/ratemodel.aspx?modelid=879886,e-headphone
139,/ratemodel.aspx?modelid=935377,e-headphone
140,/ratemodel.aspx?modelid=942035,e-headphone
141,/ratemodel.aspx?modelid=1030337,e-headphone
142,/ratemodel.aspx?modelid=1053278,e-headphone
143,/ratemodel.aspx?modelid=1065156,e-headphone
144,/ratemodel.aspx?modelid=938859,e-headphone
145,/ratemodel.aspx?modelid=1085348,e-headphone
146,/ratemodel.aspx?modelid=926436,e-headphone
147,/ratemodel.aspx?modelid=964241,e-headphone
148,/ratemodel.aspx?modelid=935692,e-headphone
149,/ratemodel.aspx?modelid=304707,e-headphone
150,/ratemodel.aspx?modelid=979415,e-headphone
151,/ratemodel.aspx?modelid=1153329,e-headphone
152,/ratemodel.aspx?modelid=1030168,e-headphone
153,/ratemodel.aspx?modelid=880508,e-headphone
154,/ratemodel.aspx?modelid=933066,e-headphone
155,/ratemodel.aspx?modelid=1075244,e-headphone
156,/ratemodel.aspx?modelid=1089796,e-headphone
157,/ratemodel.aspx?modelid=1018706,e-headphone
158,/ratemodel.aspx?modelid=1013928,e-headphone
159,/ratemodel.aspx?modelid=900913,e-headphone
160,/ratemodel.aspx?modelid=893750,e-headphone
161,/ratemodel.aspx?modelid=933067,e-headphone
162,/ratemodel.aspx?modelid=924576,e-headphone
163,/ratemodel.aspx?modelid=1094538,e-headphone
164,/ratemodel.aspx?modelid=1142728,e-cellphone
165,/ratemodel.aspx?modelid=1124638,e-cellphone
166,/ratemodel.aspx?modelid=1149678,e-cellphone
167,/ratemodel.aspx?modelid=1040282,e-cellphone
168,/ratemodel.aspx?modelid=1124722,e-cellphone
169,/ratemodel.aspx?modelid=1142731,e-cellphone
170,/ratemodel.aspx?modelid=1140819,e-cellphone
171,/ratemodel.aspx?modelid=1124719,e-cellphone
172,/ratemodel.aspx?modelid=1142730,e-cellphone
173,/ratemodel.aspx?modelid=1109710,e-cellphone
174,/ratemodel.aspx?modelid=1091548,e-cellphone
175,/ratemodel.aspx?modelid=1146138,e-cellphone
176,/ratemodel.aspx?modelid=1078896,e-cellphone
177,/ratemodel.aspx?modelid=1146137,e-cellphone
178,/ratemodel.aspx?modelid=1137460,e-cellphone
179,/ratemodel.aspx?modelid=1124640,e-cellphone
180,/ratemodel.aspx?modelid=1124639,e-cellphone
181,/ratemodel.aspx?modelid=1124717,e-cellphone
182,/ratemodel.aspx?modelid=1102012,e-cellphone
183,/ratemodel.aspx?modelid=1148409,e-cellphone
184,/ratemodel.aspx?modelid=1145966,e-cellphone
185,/ratemodel.aspx?modelid=1089907,e-cellphone
186,/ratemodel.aspx?modelid=1124725,e-cellphone
187,/ratemodel.aspx?modelid=1142727,e-cellphone
188,/ratemodel.aspx?modelid=1128120,e-cellphone
189,/ratemodel.aspx?modelid=1126604,e-cellphone
190,/ratemodel.aspx?modelid=1124271,e-cellphone
191,/ratemodel.aspx?modelid=1090450,e-cellphone
192,/ratemodel.aspx?modelid=1149075,e-cellphone
193,/ratemodel.aspx?modelid=1110251,e-cellphone
194,/ratemodel.aspx?modelid=1040284,e-cellphone
195,/ratemodel.aspx?modelid=1089908,e-cellphone
196,/ratemodel.aspx?modelid=1101218,e-cellphone
197,/ratemodel.aspx?modelid=1143107,e-cellphone
198,/ratemodel.aspx?modelid=1078525,e-cellphone
199,/ratemodel.aspx?modelid=1101217,e-cellphone
200,/ratemodel.aspx?modelid=1148411,e-cellphone
201,/ratemodel.aspx?modelid=1036203,e-cellphone
202,/ratemodel.aspx?modelid=1089905,e-cellphone
203,/ratemodel.aspx?modelid=1109711,e-cellphone
204,/ratemodel.aspx?modelid=989444,e-cellphone
205,/ratemodel.aspx?modelid=1142199,e-cellphone
206,/ratemodel.aspx?modelid=1016695,e-cellphone
207,/ratemodel.aspx?modelid=1142269,e-cellphone
208,/ratemodel.aspx?modelid=996558,e-cellphone
209,/ratemodel.aspx?modelid=1129077,e-cellphone
210,/ratemodel.aspx?modelid=1129465,e-cellphone
211,/ratemodel.aspx?modelid=1121513,e-cellphone
212,/ratemodel.aspx?modelid=1123663,e-cellphone
213,/ratemodel.aspx?modelid=1122016,e-cellphone
214,/ratemodel.aspx?modelid=1036204,e-cellphone
215,/ratemodel.aspx?modelid=1089904,e-cellphone
216,/ratemodel.aspx?modelid=1122015,e-cellphone
217,/ratemodel.aspx?modelid=1016696,e-cellphone
218,/ratemodel.aspx?modelid=1110839,e-cellphone
219,/ratemodel.aspx?modelid=942956,e-cellphone
220,/ratemodel.aspx?modelid=1082086,e-cellphone
221,/ratemodel.aspx?modelid=1089902,e-cellphone
222,/ratemodel.aspx?modelid=1059737,e-cellphone
223,/ratemodel.aspx?modelid=1121512,e-cellphone
224,/ratemodel.aspx?modelid=1126716,e-cellphone
225,/ratemodel.aspx?modelid=1147660,e-cellphone
226,/ratemodel.aspx?modelid=1090435,e-cellphone
227,/ratemodel.aspx?modelid=1111480,e-cellphone
228,/ratemodel.aspx?modelid=1009389,e-cellphone
229,/ratemodel.aspx?modelid=1123659,e-cellphone
230,/ratemodel.aspx?modelid=1112557,e-cellphone
231,/ratemodel.aspx?modelid=1145965,e-cellphone
232,/ratemodel.aspx?modelid=1124723,e-cellphone
233,/ratemodel.aspx?modelid=1040287,e-cellphone
234,/ratemodel.aspx?modelid=1116207,e-cellphone
235,/ratemodel.aspx?modelid=1065398,e-cellphone
236,/ratemodel.aspx?modelid=1091730,e-cellphone
237,/ratemodel.aspx?modelid=1117932,e-cellphone
238,/ratemodel.aspx?modelid=1089899,e-cellphone
239,/ratemodel.aspx?modelid=1089901,e-cellphone
240,/ratemodel.aspx?modelid=1091458,e-cellphone
241,/ratemodel.aspx?modelid=1082087,e-cellphone
242,/ratemodel.aspx?modelid=996556,e-cellphone
243,/ratemodel.aspx?modelid=1128430,e-cellphone
244,/ratemodel.aspx?modelid=996554,e-cellphone
245,/ratemodel.aspx?modelid=1065397,e-cellphone
246,/ratemodel.aspx?modelid=1108558,e-cellphone
247,/ratemodel.aspx?modelid=1023942,e-cellphone
248,/ratemodel.aspx?modelid=1060349,e-cellphone
249,/ratemodel.aspx?modelid=1109757,e-cellphone
250,/ratemodel.aspx?modelid=1124724,e-cellphone
251,/ratemodel.aspx?modelid=953058,e-cellphone
252,/ratemodel.aspx?modelid=1122430,e-cellphone
253,/ratemodel.aspx?modelid=1093929,e-cellphone
254,/ratemodel.aspx?modelid=1040286,e-cellphone
255,/ratemodel.aspx?modelid=981012,e-cellphone
256,/ratemodel.aspx?modelid=1117931,e-cellphone
257,/ratemodel.aspx?modelid=1125309,e-cellphone
258,/ratemodel.aspx?modelid=1124522,e-cellphone
259,/ratemodel.aspx?modelid=1122019,e-cellphone
260,/ratemodel.aspx?modelid=1109128,e-cellphone
261,/ratemodel.aspx?modelid=1093191,e-cellphone
262,/ratemodel.aspx?modelid=1123483,e-cellphone
263,/ratemodel.aspx?modelid=939915,e-cellphone
264,/ratemodel.aspx?modelid=1130014,e-cellphone
265,/ratemodel.aspx?modelid=1126715,e-cellphone
266,/ratemodel.aspx?modelid=976130,e-cellphone
267,/ratemodel.aspx?modelid=1099549,e-cellphone
268,/ratemodel.aspx?modelid=1057317,e-cellphone
269,/ratemodel.aspx?modelid=1090867,e-cellphone
270,/ratemodel.aspx?modelid=1099369,e-cellphone
271,/ratemodel.aspx?modelid=1067555,e-cellphone
272,/ratemodel.aspx?modelid=1123343,e-cellphone
273,/ratemodel.aspx?modelid=1100898,e-cellphone
274,/ratemodel.aspx?modelid=1057319,e-cellphone
275,/ratemodel.aspx?modelid=1112287,e-cellphone
276,/ratemodel.aspx?modelid=1110042,e-cellphone
277,/ratemodel.aspx?modelid=1117422,e-cellphone
278,/clientcard.aspx?siteid=5389,e-cellphone
279,/ratemodel.aspx?modelid=789836,e-cellphone
280,/ratemodel.aspx?modelid=1057318,e-cellphone
281,/ratemodel.aspx?modelid=1120867,e-cellphone
282,/ratemodel.aspx?modelid=1125073,e-cellphone
283,/ratemodel.aspx?modelid=1068244,e-cellphone
284,/ratemodel.aspx?modelid=953265,e-cellphone
285,/ratemodel.aspx?modelid=1117421,e-cellphone
286,/ratemodel.aspx?modelid=1040283,e-cellphone
287,/ratemodel.aspx?modelid=1139672,e-cellphone
288,/ratemodel.aspx?modelid=1126725,e-cellphone
289,/ratemodel.aspx?modelid=1089906,e-cellphone
290,/ratemodel.aspx?modelid=996552,e-cellphone
291,/ratemodel.aspx?modelid=1095827,e-cellphone
292,/ratemodel.aspx?modelid=1113836,e-cellphone
293,/ratemodel.aspx?modelid=943741,e-cellphone
294,/ratemodel.aspx?modelid=956389,e-cellphone
295,/ratemodel.aspx?modelid=943739,e-cellphone
296,/ratemodel.aspx?modelid=1115282,e-cellphone
297,/ratemodel.aspx?modelid=1123298,e-cellphone
298,/ratemodel.aspx?modelid=1098344,e-cellphone
299,/ratemodel.aspx?modelid=1089909,e-cellphone
300,/ratemodel.aspx?modelid=930601,e-cellphone
301,/ratemodel.aspx?modelid=1112782,e-cellphone
302,/ratemodel.aspx?modelid=1046120,e-cellphone
303,/ratemodel.aspx?modelid=1056999,e-cellphone
304,/ratemodel.aspx?modelid=1117087,e-cellphone
305,/ratemodel.aspx?modelid=1017443,e-cellphone
306,/ratemodel.aspx?modelid=1113264,e-cellphone
307,/ratemodel.aspx?modelid=1020650,e-cellphone
308,/ratemodel.aspx?modelid=1101216,e-cellphone
309,/ratemodel.aspx?modelid=1090100,e-cellphone
310,/ratemodel.aspx?modelid=1063477,e-cellphone
311,/clientcard.aspx?siteid=3175,e-cellphone
312,/ratemodel.aspx?modelid=1055936,e-cellphone
313,/clientcard.aspx?siteid=8107,e-cellphone
314,/ratemodel.aspx?modelid=1111698,e-cellphone
315,/clientcard.aspx?siteid=3744,e-cellphone
316,/ratemodel.aspx?modelid=1146518,e-cellphone
317,/ratemodel.aspx?modelid=1067911,e-cellphone
318,/ratemodel.aspx?modelid=954825,e-cellphone
319,/ratemodel.aspx?modelid=1117134,e-cellphone
320,/ratemodel.aspx?modelid=1145172,e-cellphone
321,/ratemodel.aspx?modelid=867366,e-cellphone
322,/ratemodel.aspx?modelid=995990,e-cellphone
323,/ratemodel.aspx?modelid=1109127,e-cellphone
324,/ratemodel.aspx?modelid=1118282,e-cellphone
325,/ratemodel.aspx?modelid=996261,e-cellphone
326,/ratemodel.aspx?modelid=1114687,e-shavingmachine
327,/ratemodel.aspx?modelid=1114691,e-shavingmachine
328,/ratemodel.aspx?modelid=1085649,e-shavingmachine
329,/ratemodel.aspx?modelid=886949,e-shavingmachine
330,/ratemodel.aspx?modelid=974294,e-shavingmachine
331,/ratemodel.aspx?modelid=1021061,e-shavingmachine
332,/ratemodel.aspx?modelid=1066487,e-shavingmachine
333,/ratemodel.aspx?modelid=1001187,e-shavingmachine
334,/ratemodel.aspx?modelid=1094807,e-shavingmachine
335,/ratemodel.aspx?modelid=1114690,e-shavingmachine
336,/ratemodel.aspx?modelid=848304,e-shavingmachine
337,/ratemodel.aspx?modelid=1097972,e-shavingmachine
338,/ratemodel.aspx?modelid=1113838,e-shavingmachine
339,/ratemodel.aspx?modelid=949211,e-shavingmachine
340,/ratemodel.aspx?modelid=1023015,e-shavingmachine
341,/ratemodel.aspx?modelid=974297,e-shavingmachine
342,/ratemodel.aspx?modelid=1097969,e-shavingmachine
343,/ratemodel.aspx?modelid=1056576,e-shavingmachine
344,/ratemodel.aspx?modelid=1057100,e-shavingmachine
345,/ratemodel.aspx?modelid=982390,e-shavingmachine
346,/ratemodel.aspx?modelid=894176,e-shavingmachine
347,/ratemodel.aspx?modelid=915355,e-shavingmachine
348,/ratemodel.aspx?modelid=935763,e-shavingmachine
349,/ratemodel.aspx?modelid=988443,e-shavingmachine
350,/ratemodel.aspx?modelid=937229,e-shavingmachine
351,/ratemodel.aspx?modelid=909894,e-shavingmachine
352,/ratemodel.aspx?modelid=997515,e-shavingmachine
353,/ratemodel.aspx?modelid=1121701,e-shavingmachine
354,/ratemodel.aspx?modelid=997512,e-shavingmachine
355,/ratemodel.aspx?modelid=933064,e-shavingmachine
356,/ratemodel.aspx?modelid=820896,e-shavingmachine
